_id,Lokasi,Kecamatan,Kelurahan,Rayon,Luas genangan,Tinggi genangan,Lama genangan,Skor Luas Genangan,Skor Tinggi Genangan,Skor Lama Genangan
212,Jl. Johor dan sekitarnya,Bubutan,Perak Timur,Rayon Genteng,1.1452,10,30,75,25,0
213,Jl. Embong Wungu,Genteng,Embong Kaliasin,Rayon Genteng,0.411011,18,15,50,50,0
214,Taman Apsari dan sekitarnya,Genteng,Embong Kaliasin,Rayon Genteng,0.463462,18,15,50,50,0
215,Jl. Pacuan Kuda,Sawahan,Petemon,Rayon Genteng,0.350495,4,30,50,0,0
216,Jl. Kemayoran Baru,Krembangan,Krembangan Selatan,Rayon Genteng,1.03155,25,30,75,50,0
217,Jl. Kalimas Baru,Pabean Cantikan,Perak Timur,Rayon Genteng,0.376611,10,30,50,25,0
218,JL. Brawijaya,Wonokromo,Sawunggaling,Rayon Wiyung,0.747965,9,3,75,25,0
219,Kp. Pucang Jajar,Gubeng,Kertajaya,Rayon Gubeng,1.119931,9,3,75,25,0
220,Kp. Manyar Sabrangan,Mulyorejo,Manyar Sabrangan,Rayon Gubeng,0.329705,9,3,50,25,0
221,Kp. Tenggumung Wetan,Semampir,Wonokusumo,Rayon Gubeng,0.42161,9,3,50,25,0
222,Jl. Tembaan,Bubutan,Bubutan,Rayon Genteng,1.415229,9,3,75,25,0
223,Jl. Untung Suropati,Tegalsari,dr. soetomo,Rayon Genteng,1.353338,9,3,75,25,0
224,Pasar Krembangan dan sekitarnya,KREMBANGAN,KREMBANGAN SELATAN,Rayon Genteng,0.768931,9,3,75,25,0
225,Simokatrungan,Sawahan,Banyuurip,Rayon Tandes,1.144456,9,3,75,25,0
226,Jl. Patemon Gg IV,SAWAHAN,PETEMON,Rayon Genteng,1.18916,9,3,75,25,0
227,Jl. Patemon Gg III,SAWAHAN,PETEMON,Rayon Genteng,1.740933,9,3,100,25,0
228,Griya babatan Mukti dan Sekitarnya,WIYUNG,BABATAN,Rayon Wiyung,8.1,9,3,100,25,0
229,Ketintang Baru (Timur Rel),Gayungan,Dukuh Menanggal,Rayon Jambangan,2.071641,9,3,100,25,0
230,Ketintang Baru (Barat Jl. A Yani),Gayungan,Dukuh Menanggal,Rayon Jambangan,2.906881,9,3,100,25,0
231,Jl. Lidah Wetan 1 dan sekitarnya,LAKARSANTRI,LIDAH WETAN,Rayon Wiyung,8.6,9,3,100,25,0
232,JL. Raya Lidah Wetan,LAKARSANTRI,LIDAH WETAN,Rayon Wiyung,0.517799,9,3,75,25,0
233,Jl. Kesatrian,WONOKROMO,SAWUNGGALING,Rayon Wiyung,0.739912,9,3,75,25,0
234,Jl. Cisadane,WONOKROMO,DARMO,Rayon Genteng,0.579843,9,3,75,25,0
235,Jl. Embong Gayam,GENTENG,EMBONG KALIASIN,Rayon Genteng,0.325076,9,3,50,25,0
236,Jl. Keputih I,Sukolilo,Keputih,Rayon Jambangan,0.324674,9,3,50,25,0
237,Kp. Kejawan Putih Tambak,MULYOREJO,KEJAWAN PUTIH TAMBAK,Rayon Gubeng,1.189222,9,3,75,25,0
238,Jl. Arif Rahman Hakim,SUKOLILO,KLAMPIS NGASEM,Rayon Gubeng,1.130102,9,3,75,25,0
239,Jl. Dharmahusada Indah,GUBENG,MOJO,Rayon Gubeng,0.200037,9,3,50,25,0
240,Jl. Kanwa,WONOKROMO,DARMO,Rayon Genteng,0.334177,9,3,50,25,0
241,Per. Rungkut Harapan,Rungkut,Rungkut Kidul,Rayon Jambangan,0.851371,9,3,75,25,0
242,TANJUNGSARI I,SUKOMANUNGGAL,TANJUNGSARI,Rayon Tandes,19.98,9,15,100,25,0
243,Jl. Karangrejo,Wonokromo,Wonokromo,Rayon Jambangan,15.83,9,20,100,25,0
244,Kp. Tambakdono,Benowo,Tambakdono,Rayon Tandes,16.41,4,15,100,0,0
